Manaus;1302603;73
Uarini;1304260;5
Japurá;1302108;3
Figueirópolis D'Oeste;5103809;12
Várzea Grande;5108402;106
Alvarães;1300029;5
Codajás;1301308;15
Autazes;1300300;3
Borba;1300805;7
Juruti;1503903;14
Monte Alegre;1504802;16
Itacoatiara;1301902;26
Belém;1501402;218
Baião;1501204;7
Mocajuba;1504604;7
Cametá;1502103;9
Breves;1501808;24
Almeirim;1500503;17
Maraã;1302801;3
Prainha;1506005;17
Coari;1301209;15
Alenquer;1500404;8
Acarape;2300150;14
Fortaleza;2304400;358
Gurupá;1503101;17
Parintins;1303403;19
Redenção;2311603;12
São Sebastião da Boa Vista;1507706;5
Santarém;1506807;95
Canutama;1300904;2
Cristino Castro;2203107;66
Palmeira do Piauí;2207405;6
Aracoiaba;2301208;13
Palmácia;2310100;12
Baturité;2302107;15
Guaramiranga;2305100;12
Graça;2304657;12
São Benedito;2312304;62
Pacoti;2309805;12
Juazeiro do Norte;2307304;168
Jardim de Piranhas;2405603;31
Mulungu;2309102;12
Frutuoso Gomes;2404002;9
Umarizal;2414506;16
Japaratuba;2803302;28
Telha;2807303;14
Campo Belo;3111200;30
Santa Juliana;3157708;29
Agricolândia;2200103;3
Anápolis;5201108;382
Brejo do Cruz;2502805;23
Bonfinópolis de Minas;3108206;14
Sete Lagoas;3167202;85
Missão Velha;2308401;65
Caraíbas;2906899;2
Goiânia;5208707;604
Santa Maria da Vitória;2928109;69
Itambé;2915809;45
Paratinga;2923704;38
Apodi;2401008;22
Jati;2307205;47
Itapeva;3522406;52
Taquarituba;3553807;27
Penaforte;2310605;22
Macaíba;2407104;44
São Gonçalo do Amarante;2412005;1
Pedrinópolis;3149200;17
Guaratuba;4109609;14
Paranaguá;4118204;25
Caicó;2402006;74
Milagres;2308302;80
Porteiras;2311108;15
Aratuba;2301406;14
Óbidos;1505106;16
Apiaí;3502705;14
Iporanga;3521200;2
Pontal do Paraná;4119954;5
Itu;3523909;37
Pirapora do Bom Jesus;3539103;8
Mucambo;2309003;10
Coribe;2909109;9
