Manaus;1302603;41
Uarini;1304260;0
Japurá;1302108;3
Figueirópolis D'Oeste;5103809;7
Várzea Grande;5108402;18
Alvarães;1300029;5
Codajás;1301308;10
Autazes;1300300;3
Borba;1300805;5
Juruti;1503903;6
Monte Alegre;1504802;7
Itacoatiara;1301902;23
Belém;1501402;201
Baião;1501204;6
Mocajuba;1504604;1
Cametá;1502103;5
Breves;1501808;15
Almeirim;1500503;14
Maraã;1302801;1
Prainha;1506005;6
Coari;1301209;11
Alenquer;1500404;5
Acarape;2300150;14
Fortaleza;2304400;239
Gurupá;1503101;11
Parintins;1303403;14
Redenção;2311603;0
São Sebastião da Boa Vista;1507706;0
Santarém;1506807;56
Canutama;1300904;2
Cristino Castro;2203107;50
Palmeira do Piauí;2207405;3
Aracoiaba;2301208;12
Palmácia;2310100;1
Baturité;2302107;12
Guaramiranga;2305100;6
Graça;2304657;10
São Benedito;2312304;16
Pacoti;2309805;2
Juazeiro do Norte;2307304;107
Jardim de Piranhas;2405603;17
Mulungu;2309102;4
Frutuoso Gomes;2404002;8
Umarizal;2414506;0
Japaratuba;2803302;16
Telha;2807303;0
Campo Belo;3111200;23
Santa Juliana;3157708;2
Agricolândia;2200103;3
Anápolis;5201108;78
Brejo do Cruz;2502805;15
Bonfinópolis de Minas;3108206;12
Sete Lagoas;3167202;10
Missão Velha;2308401;37
Caraíbas;2906899;1
Goiânia;5208707;114
Santa Maria da Vitória;2928109;31
Itambé;2915809;27
Paratinga;2923704;16
Apodi;2401008;19
Jati;2307205;38
Itapeva;3522406;37
Taquarituba;3553807;13
Penaforte;2310605;10
Macaíba;2407104;15
São Gonçalo do Amarante;2412005;0
Pedrinópolis;3149200;5
Guaratuba;4109609;13
Paranaguá;4118204;10
Caicó;2402006;64
Milagres;2308302;49
Porteiras;2311108;3
Aratuba;2301406;12
Óbidos;1505106;4
Apiaí;3502705;14
Iporanga;3521200;1
Pontal do Paraná;4119954;2
Itu;3523909;22
Pirapora do Bom Jesus;3539103;3
Mucambo;2309003;5
Coribe;2909109;7
São Félix do Coribe;2929057;14
Itapirapuã Paulista;3522653;1
Ribeira;3542800;3
Cocos;2908101;15
Jaborandi;2917359;4
Nova Campina;3532827;0
Avaré;3504503;33
Taguaí;3553005;1
Indaiatuba;3520509;21
Sumaré;3552403;1
Paranatinga;5106307;6
Poxoréo;5107008;2
Beruri;1300631;4
Tapauá;1304104;0
Lábrea;1302405;2
Anajás;1500701;3
Laranjal do Jari;1600279;3
Vitória do Jari;1600808;0
São Bernardo;2110609;9
São Luís;2111300;68
Redenção do Gurguéia;2208700;19
São Raimundo Nonato;2210607;23
Maranguape;2307700;5
Delmiro Gouveia;2702405;56
Belo Horizonte;3106200;490
Mirassol;3530300;25
Nipoã;3532702;2
Espumoso;4307500;34
São Leopoldo;4318705;63
Cordeiros;2909000;5
São João do Jaguaribe;2312502;1
Tabuleiro do Norte;2313104;4
Ametista do Sul;4300646;22
Passo Fundo;4314100;72
Bom Jesus da Lapa;2903904;74
Catanduva;3511102;55
Tabapuã;3552601;0
Vitória da Conquista;2933307;88
Itapema;4208302;71
Lebon Régis;4209706;19
Arapongas;4101507;79
Astorga;4102109;19
Campina Grande do Sul;4104006;2
Curitiba;4106902;294
São José do Rio Preto;3549805;133
Pacatuba;2309706;3
Equador;2403400;7
Jardim do Seridó;2405702;18
Ferreiros;2605509;2
Itambé;2607653;1
Mato Verde;3141009;15
Pai Pedro;3146552;1
Bento de Abreu;3506201;6
Mirandópolis;3530102;9
Ibititá;2913101;6
Piritiba;2924801;16
Paranapanema;3535804;5
Cuiabá;5103403;76
Dom Aquino;5103601;4
Barro;2302008;79
Cedro;2604304;2
Guaiúba;2304954;9
Porto Alegre;4314902;147
Serafina Corrêa;4320404;5
Croatá;2304236;17
Macapá;1600303;6
Mazagão;1600402;0
Araioses;2100907;9
Chapadinha;2103208;35
Parelhas;2408904;7
Barra do Choça;2902906;4
Itapetinga;2916401;31
Jaguarari;2917706;25
Ponto Novo;2925253;5
São Mateus do Sul;4125605;33
Três Barras;4218301;0
Ielmo Marinho;2404606;1
Nova Odessa;3533403;12
Piraju;3538808;18
Forquilha;2304350;38
Pires Ferreira;2310951;5
Groaíras;2304905;10
Ipu;2305803;25
Tapera;4321006;5
Cerqueira César;3511409;7
Santa Cruz do Rio Pardo;3546405;4
Redenção;1506138;52
Caseara;1703909;8
Araçariguama;3502754;10
Itapevi;3522505;1
Conquista D'Oeste;5103361;9
Porto Esperidião;5106828;3
Olindina;2923100;15
Rio Real;2927002;3
Primavera;2611408;1
Recife;2611606;143
Barra do Mendes;2903003;18
Seabra;2929909;60
Areal;3300225;4
Petrópolis;3303906;13
Campo Largo;4104204;39
Porto Amazonas;4120101;0
Conceição da Feira;2908200;13
Muritiba;2922300;10
Junco do Seridó;2507804;17
Limoeiro do Norte;2307601;19
Cajobi;3509304;5
Olímpia;3533908;18
Ponta Grossa;4119905;81
São João do Triunfo;4125100;1
Aracaju;2800308;179
São Cristóvão;2806701;0
Antonina;4101200;4
Humaitá;1301704;5
Vargem Grande;2112704;6
Brejo;2102101;33
Paulino Neves;2108058;4
Capitão Gervásio Oliveira;2202455;8
São João do Piauí;2210003;13
Aliança;2600708;12
Condado;2604601;3
Belém de Maria;2601508;13
Cupira;2605004;15
Camutanga;2603603;3
Areia Branca;2800506;19
Macambira;2803708;0
Caetanos;2905156;3
Planalto;2925006;18
São Paulo;3550308;329
Ribeirão Branco;3543006;0
Jucás;2307403;5
Saboeiro;2311900;9
Guaraciaba do Norte;2305001;25
Aurora do Tocantins;1702703;23
Jaú do Tocantins;1711506;9
Muriaé;3143906;53
Sapucaia;3305406;2
Além Paraíba;3101508;49
Nova Friburgo;3303401;14
Ibiapina;2305308;19
Selbach;4320305;8
Elísio Medrado;2910305;7
Santa Teresinha;2928505;5
Arroio do Meio;4301008;31
Marques de Souza;4312054;14
Porto de Moz;1505908;5
Assis;3504008;95
Pedrinhas Paulista;3537156;1
Rio de Janeiro;3304557;128
Reriutaba;2311702;5
Peritoró;2108454;84
Indiara;5209952;11
Paranaiguara;5216304;5
Nova Soure;2922904;17
Caibi;4203105;50
Soledade;4320800;32
Osasco;3534401;72
Progresso;4315156;3
Sinimbu;4320677;0
Camaçari;2905701;23
Mata de São João;2921005;3
Palmeira;4117701;6
Artur Nogueira;3503802;9
Campinas;3509502;336
Ribeirão Preto;3543402;105
Franco da Rocha;3516408;1
Jundiaí;3525904;105
Cajamar;3509205;2
Presidente Médici;1100254;82
Castanheiras;1100908;0
Barcarena;1501303;10
Oeiras do Pará;1505205;1
Mojuí dos Campos;1504752;1
Tutóia;2112506;4
Parnaíba;2207702;30
Aroazes;2200905;8
Ipiranga do Piauí;2204808;19
Simões;2210706;9
Trindade;2615607;5
Antonina do Norte;2300804;23
Araripe;2301307;22
Brejo Santo;2302503;75
Caiçara do Rio do Vento;2401909;10
Fernando Pedroza;2403756;5
Areia de Baraúnas;2501153;2
Patos;2510808;75
Caaporã;2503001;4
Goiana;2606200;11
Panelas;2610202;7
Buenos Aires;2602704;9
Vicência;2616308;0
Santa Cruz do Capibaribe;2612505;12
Toritama;2615409;2
Arapiraca;2700300;107
Feira Grande;2702603;0
Anagé;2901205;72
Condeúba;2908705;19
Seropédica;3305554;0
Cruzália;3513306;5
Paraguaçu Paulista;3535507;12
Guararema;3518305;4
Santa Isabel;3546801;2
Itariri;3523305;14
Peruíbe;3537602;16
Brochier;4302659;2
Rio Grande;4315602;17
São José do Norte;4318507;2
Cáceres;5102504;40
Nova Glória;5214861;7
Pilar de Goiás;5216908;5
Miracema;3303005;7
Nova Iguaçu;3303500;13
Santa Izabel do Oeste;4123808;22
Edéia;5207402;8
Esplanada;2910602;66
Euclides da Cunha;2910701;22
Macururé;2919900;7
Manduri;3528601;5
Nova Olinda do Norte;1303106;1
Uberlândia;3170206;124
Aparecida de Goiânia;5201405;13
São Mateus;3204906;17
Baixio;2301802;14
Crato;2304202;110
Feira de Santana;2910800;255
Penedo;2706703;32
Itaporanga d'Ajuda;2803203;20
Acopiara;2300309;58
Cariús;2303303;9
Aroeiras;2501302;3
Queimadas;2512507;6
Timbaúba;2615300;5
Araricá;4300877;6
Novo Hamburgo;4313409;67
Carlópolis;4104709;9
Botuporã;2904209;16
Brotas de Macaúbas;2904506;15
Suzano;3552502;1
Santo Antônio de Pádua;3304706;4
Maratá;4311791;2
