Manaus;1302603;1740.5
Uarini;1304260;0.0
Japurá;1302108;20.0
Figueirópolis D'Oeste;5103809;518.0
Várzea Grande;5108402;372.0
Alvarães;1300029;179.5
Codajás;1301308;193.0
Autazes;1300300;46.5
Borba;1300805;191.5
Juruti;1503903;285.0
Monte Alegre;1504802;236.5
Itacoatiara;1301902;560.5
Belém;1501402;15495.5
Baião;1501204;431.5
Mocajuba;1504604;6.5
Cametá;1502103;478.0
Breves;1501808;441.5
Almeirim;1500503;381.0
Maraã;1302801;13.0
Prainha;1506005;128.5
Coari;1301209;257.0
Alenquer;1500404;134.5
Acarape;2300150;6966.0
Fortaleza;2304400;18678.0
Gurupá;1503101;151.0
Parintins;1303403;136.25
Redenção;2311603;0.0
São Sebastião da Boa Vista;1507706;0.0
Santarém;1506807;1354.0
Canutama;1300904;6.0
Cristino Castro;2203107;1594.5
Palmeira do Piauí;2207405;6.0
Aracoiaba;2301208;5079.0
Palmácia;2310100;35.0
Baturité;2302107;5460.0
Guaramiranga;2305100;860.0
Graça;2304657;899.0
São Benedito;2312304;1478.0
Pacoti;2309805;321.0
Juazeiro do Norte;2307304;4709.0
Jardim de Piranhas;2405603;451.0
Mulungu;2309102;587.0
Frutuoso Gomes;2404002;239.0
Umarizal;2414506;0.0
Japaratuba;2803302;5484.0
Telha;2807303;0.0
Campo Belo;3111200;1186.0
Santa Juliana;3157708;159.0
Agricolândia;2200103;45.0
Anápolis;5201108;4919.0
Brejo do Cruz;2502805;1270.0
Bonfinópolis de Minas;3108206;274.0
Sete Lagoas;3167202;300.0
Missão Velha;2308401;766.0
Caraíbas;2906899;144.0
Goiânia;5208707;12874.0
Santa Maria da Vitória;2928109;1080.0
Itambé;2915809;1444.0
Paratinga;2923704;359.0
Apodi;2401008;206.0
Jati;2307205;714.0
Itapeva;3522406;2370.0
Taquarituba;3553807;283.0
Penaforte;2310605;476.0
Macaíba;2407104;1557.0
São Gonçalo do Amarante;2412005;0.0
Pedrinópolis;3149200;231.0
Guaratuba;4109609;700.0
Paranaguá;4118204;347.0
Caicó;2402006;3636.0
Milagres;2308302;1415.0
Porteiras;2311108;34.5
Aratuba;2301406;2312.0
Óbidos;1505106;314.5
Apiaí;3502705;551.0
Iporanga;3521200;7.0
Pontal do Paraná;4119954;28.0
Itu;3523909;2931.0
Pirapora do Bom Jesus;3539103;993.0
Mucambo;2309003;585.0
Coribe;2909109;347.0
São Félix do Coribe;2929057;77.0
Itapirapuã Paulista;3522653;20.0
Ribeira;3542800;18.0
Cocos;2908101;559.0
Jaborandi;2917359;217.0
Nova Campina;3532827;0.0
Avaré;3504503;1830.0
Taguaí;3553005;43.0
Indaiatuba;3520509;1693.0
Sumaré;3552403;1.0
Paranatinga;5106307;161.0
Poxoréo;5107008;183.0
Beruri;1300631;168.0
Tapauá;1304104;0.0
Lábrea;1302405;7.0
Anajás;1500701;27.0
Laranjal do Jari;1600279;434.0
Vitória do Jari;1600808;0.0
São Bernardo;2110609;237.0
São Luís;2111300;2249.0
Redenção do Gurguéia;2208700;333.0
São Raimundo Nonato;2210607;526.0
Maranguape;2307700;467.0
Delmiro Gouveia;2702405;1474.0
Belo Horizonte;3106200;33897.5
Mirassol;3530300;1055.0
Nipoã;3532702;54.0
Espumoso;4307500;1088.0
São Leopoldo;4318705;3829.0
Cordeiros;2909000;89.0
São João do Jaguaribe;2312502;14.0
Tabuleiro do Norte;2313104;48.0
Ametista do Sul;4300646;514.0
Passo Fundo;4314100;2363.0
Bom Jesus da Lapa;2903904;3189.0
Catanduva;3511102;2996.0
Tabapuã;3552601;0.0
Vitória da Conquista;2933307;1574.0
Itapema;4208302;1259.0
Lebon Régis;4209706;339.0
Arapongas;4101507;4101.0
Astorga;4102109;624.0
Campina Grande do Sul;4104006;380.0
Curitiba;4106902;14322.0
São José do Rio Preto;3549805;5153.5
Pacatuba;2309706;704.0
Equador;2403400;179.0
Jardim do Seridó;2405702;727.0
Ferreiros;2605509;228.0
Itambé;2607653;114.0
Mato Verde;3141009;411.0
Pai Pedro;3146552;24.0
Bento de Abreu;3506201;175.0
Mirandópolis;3530102;357.0
Ibititá;2913101;253.0
Piritiba;2924801;230.0
Paranapanema;3535804;69.0
Cuiabá;5103403;6403.5
Dom Aquino;5103601;188.0
Barro;2302008;2453.0
Cedro;2604304;282.0
Guaiúba;2304954;1472.0
Porto Alegre;4314902;8850.0
Serafina Corrêa;4320404;118.0
Croatá;2304236;758.0
Macapá;1600303;1349.0
Mazagão;1600402;0.0
Araioses;2100907;213.0
Chapadinha;2103208;1167.0
Parelhas;2408904;164.0
Barra do Choça;2902906;309.0
Itapetinga;2916401;1682.0
Jaguarari;2917706;850.0
Ponto Novo;2925253;772.0
São Mateus do Sul;4125605;669.0
Três Barras;4218301;0.0
Ielmo Marinho;2404606;38.0
Nova Odessa;3533403;872.0
Piraju;3538808;579.0
Forquilha;2304350;2806.0
Pires Ferreira;2310951;188.0
Groaíras;2304905;294.0
Ipu;2305803;1071.0
Tapera;4321006;53.0
Cerqueira César;3511409;386.0
Santa Cruz do Rio Pardo;3546405;347.0
Redenção;1506138;2221.25
Caseara;1703909;130.0
Araçariguama;3502754;1513.0
Itapevi;3522505;536.0
Conquista D'Oeste;5103361;350.0
Porto Esperidião;5106828;103.0
Olindina;2923100;491.0
Rio Real;2927002;176.0
Primavera;2611408;68.0
Recife;2611606;6931.0
Barra do Mendes;2903003;534.0
Seabra;2929909;1273.0
Areal;3300225;433.0
Petrópolis;3303906;948.0
Campo Largo;4104204;568.0
Porto Amazonas;4120101;0.0
Conceição da Feira;2908200;1553.0
Muritiba;2922300;471.0
Junco do Seridó;2507804;2012.0
Limoeiro do Norte;2307601;1950.0
Cajobi;3509304;309.0
Olímpia;3533908;759.0
Ponta Grossa;4119905;2295.0
São João do Triunfo;4125100;54.0
Aracaju;2800308;30772.0
São Cristóvão;2806701;0.0
Antonina;4101200;729.0
Humaitá;1301704;86.5
Vargem Grande;2112704;84.0
Brejo;2102101;667.0
Paulino Neves;2108058;76.0
Capitão Gervásio Oliveira;2202455;99.0
São João do Piauí;2210003;247.0
Aliança;2600708;2729.0
Condado;2604601;1034.0
Belém de Maria;2601508;2966.0
Cupira;2605004;1664.0
Camutanga;2603603;342.0
Areia Branca;2800506;3322.0
Macambira;2803708;0.0
Caetanos;2905156;51.0
Planalto;2925006;2142.0
São Paulo;3550308;14864.75
Ribeirão Branco;3543006;0.0
Jucás;2307403;100.0
Saboeiro;2311900;30.0
Guaraciaba do Norte;2305001;1878.0
Aurora do Tocantins;1702703;637.0
Jaú do Tocantins;1711506;126.0
Muriaé;3143906;1841.0
Sapucaia;3305406;161.0
Além Paraíba;3101508;1639.0
Nova Friburgo;3303401;1429.0
Ibiapina;2305308;2705.0
Selbach;4320305;221.0
Elísio Medrado;2910305;294.0
Santa Teresinha;2928505;162.0
Arroio do Meio;4301008;1423.0
Marques de Souza;4312054;322.0
Porto de Moz;1505908;118.0
Assis;3504008;5625.25
Pedrinhas Paulista;3537156;45.0
Rio de Janeiro;3304557;7267.0
Reriutaba;2311702;834.0
Peritoró;2108454;3908.0
Indiara;5209952;336.0
Paranaiguara;5216304;230.0
Nova Soure;2922904;863.0
Caibi;4203105;553.0
Soledade;4320800;687.0
Osasco;3534401;2096.0
Progresso;4315156;10.0
Sinimbu;4320677;0.0
Camaçari;2905701;938.0
Mata de São João;2921005;126.0
Palmeira;4117701;183.0
Artur Nogueira;3503802;1602.0
Campinas;3509502;20852.75
Ribeirão Preto;3543402;6964.0
Franco da Rocha;3516408;468.0
Jundiaí;3525904;3910.0
Cajamar;3509205;2356.0
Presidente Médici;1100254;2395.0
Castanheiras;1100908;0.0
Barcarena;1501303;1576.0
Oeiras do Pará;1505205;6.0
Mojuí dos Campos;1504752;372.0
Tutóia;2112506;98.0
Parnaíba;2207702;888.0
Aroazes;2200905;155.0
Ipiranga do Piauí;2204808;1274.0
Simões;2210706;327.0
Trindade;2615607;21.0
Antonina do Norte;2300804;653.0
Araripe;2301307;1334.0
Brejo Santo;2302503;3334.0
Caiçara do Rio do Vento;2401909;246.0
Fernando Pedroza;2403756;177.0
Areia de Baraúnas;2501153;120.0
Patos;2510808;14181.0
Caaporã;2503001;336.0
Goiana;2606200;1785.0
Panelas;2610202;367.0
Buenos Aires;2602704;1444.0
Vicência;2616308;0.0
Santa Cruz do Capibaribe;2612505;2329.0
Toritama;2615409;793.0
Arapiraca;2700300;16895.0
Feira Grande;2702603;0.0
Anagé;2901205;2088.0
Condeúba;2908705;621.0
Seropédica;3305554;0.0
Cruzália;3513306;162.0
Paraguaçu Paulista;3535507;528.0
Guararema;3518305;1004.0
Santa Isabel;3546801;1096.0
Itariri;3523305;3171.0
Peruíbe;3537602;3939.0
Brochier;4302659;90.0
Rio Grande;4315602;873.0
São José do Norte;4318507;75.0
Cáceres;5102504;2464.0
Nova Glória;5214861;260.0
